id,status,startedAt,stoppedAt,duracion_s
121,success,"2026-09-11 20:18:17.246","2026-09-11 20:18:18.408",1.162
122,success,"2026-09-11 20:18:17.248","2026-09-11 20:18:18.400",1.152
123,success,"2026-09-11 20:18:27.360","2026-09-11 20:18:28.278",0.918
124,success,"2026-09-11 20:18:30.000","2026-09-11 20:18:32.041",2.041
125,success,"2026-09-11 20:18:33.545","2026-09-11 20:18:35.386",1.841
126,success,"2026-09-11 20:18:36.830","2026-09-11 20:18:39.445",2.615
127,success,"2026-09-11 20:18:40.970","2026-09-11 20:18:43.427",2.457
128,success,"2026-09-11 20:18:46.849","2026-09-11 20:18:50.067",3.218
129,success,"2026-09-11 20:18:58.385","2026-09-11 20:18:59.372",0.987
130,success,"2026-09-11 20:19:02.428","2026-09-11 20:19:04.604",2.176
131,success,"2026-09-11 20:19:06.375","2026-09-11 20:19:08.920",2.545
132,success,"2026-09-11 20:19:11.008","2026-09-11 20:19:13.505",2.497
133,success,"2026-09-11 20:19:15.126","2026-09-11 20:19:17.303",2.177
134,success,"2026-09-11 20:19:21.906","2026-09-11 20:19:22.988",1.082
135,success,"2026-09-11 20:19:34.435","2026-09-11 20:19:35.747",1.312
136,success,"2026-09-11 20:19:37.308","2026-09-11 20:19:39.311",2.003
137,success,"2026-09-11 20:19:41.686","2026-09-11 20:19:44.751",3.065
138,success,"2026-09-11 20:19:46.852","2026-09-11 20:19:50.440",3.588
139,success,"2026-09-11 20:19:52.741","2026-09-11 20:19:56.113",3.372
140,success,"2026-09-11 20:19:57.096","2026-09-11 20:19:59.394",2.298
141,success,"2026-09-11 20:20:08.086","2026-09-11 20:20:09.115",1.029
142,success,"2026-09-11 20:20:11.739","2026-09-11 20:20:13.741",2.002
143,success,"2026-09-11 20:20:15.806","2026-09-11 20:20:18.882",3.076
144,success,"2026-09-11 20:20:20.165","2026-09-11 20:20:22.147",1.982
145,success,"2026-09-11 20:20:24.358","2026-09-11 20:20:26.476",2.118
146,success,"2026-09-11 20:20:27.199","2026-09-11 20:20:28.895",1.696
147,success,"2026-09-11 20:20:35.597","2026-09-11 20:20:36.659",1.062
148,success,"2026-09-11 20:20:38.832","2026-09-11 20:20:41.420",2.588
149,success,"2026-09-11 20:20:43.688","2026-09-11 20:20:45.690",2.002
150,success,"2026-09-11 20:20:46.973","2026-09-11 20:20:48.924",1.951
151,success,"2026-09-11 20:20:50.454","2026-09-11 20:20:52.653",2.199
152,success,"2026-09-11 20:20:56.949","2026-09-11 20:20:57.930",0.981
153,success,"2026-09-11 20:21:05.449","2026-09-11 20:21:06.375",0.926
154,success,"2026-09-11 20:21:09.295","2026-09-11 20:21:13.226",3.931
155,success,"2026-09-11 20:21:14.853","2026-09-11 20:21:16.943",2.09
156,success,"2026-09-11 20:21:18.655","2026-09-11 20:21:20.699",2.044
157,success,"2026-09-11 20:21:22.112","2026-09-11 20:21:24.149",2.037
158,success,"2026-09-11 20:21:25.708","2026-09-11 20:21:27.899",2.191
159,success,"2026-09-11 20:21:30.206","2026-09-11 20:21:33.602",3.396
160,success,"2026-09-11 20:21:35.458","2026-09-11 20:21:37.809",2.351
161,success,"2026-09-11 20:21:39.589","2026-09-11 20:21:42.241",2.652
162,success,"2026-09-11 20:21:43.995","2026-09-11 20:21:46.093",2.098
163,success,"2026-09-11 20:21:48.316","2026-09-11 20:21:50.201",1.885
164,success,"2026-09-11 20:21:51.571","2026-09-11 20:21:53.724",2.153
165,success,"2026-09-11 20:21:55.748","2026-09-11 20:21:58.268",2.52
166,success,"2026-09-11 20:22:03.020","2026-09-11 20:22:03.958",0.938
167,success,"2026-09-11 20:22:13.707","2026-09-11 20:22:14.654",0.947
168,success,"2026-09-11 20:22:20.481","2026-09-11 20:22:25.625",5.144
